name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL3786608,CC(C)(C)OC[C@@H](O)C(=O)N1[C@H]2C[C@H]2C[C@H]1C(=O)NCc3cc(Cl)ccc3n4cnnn4,LLJLJFCRAFHJSR-GYIHYUDTSA-N,4.5,0.653212514
,CHEMBL3287852,CC(C)(C)CC[C@H]1C[C@H](CCN1)C2=CC(=O)NO2,UQUXRYFBAUAUQO-QWRGUYRKSA-N,4.5,0.653212514
,CHEMBL2313472,COc1cc(Sc2c([nH]c3ccccc23)c4ccncc4)cc(OC)c1OC,SXKCLXVXENOBLF-UHFFFAOYSA-N,4.45,0.648360011
,CHEMBL3098548,CO[C@H]1C(=O)[C@]2(C)[C@H](C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccn6)C(=C1C5(C)C)C)OC(=O)N(C)C,IMDAAAFISIQHIH-TYRUGJKKSA-N,4.41,0.644438589
,CHEMBL1928508,CSc1ccc(CNc2nc(SC)nc3ncccc23)cc1,GZSWPVJNJIFDMD-UHFFFAOYSA-N,4.404,0.64384731
,CHEMBL497007,OC1=C(C2=CS(=O)(=O)c3ccccc3N2)C(=O)N(Cc4ccc(F)cc4)c5ccccc15,UQCRWUKAPCLLPC-UHFFFAOYSA-N,4.4,0.643452676
,CHEMBL2064344,O=C1NC(=NC(=C1)N2CCOCC2)Cc3nc4ccccc4n3c5ccccc5,JHVHZYMEYYOABD-UHFFFAOYSA-N,4.4,0.643452676
,CHEMBL3786634,Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CC[S+]([O-])CC4)C3)c5cccc(OCC67CCC(CC6)O7)c5,CBQODGRJHHJAEC-MDSHCDAHSA-N,4.4,0.643452676
,CHEMBL3112968,NC[C@@]1(CC[C@@H](CC1)N2CCc3c(nc(nc3C2=O)C(F)(F)F)C4CC4)c5cccc(Cl)c5,XBODCTVRQGLZFY-QBNMFFNISA-N,4.4,0.643452676
,CHEMBL459102,COc1ccc(cc1)n2nc(c3CCN(C(=O)c23)c4ccc(cc4)C5(CC5)C6=NC(C)(C)CO6)C(F)(F)F,GVPTYPZURGJOOH-UHFFFAOYSA-N,4.4,0.643452676
,CHEMBL2031100,COC(=O)N[C@H](C(=O)NN(CCC[C@]1(Cc2ccccc2)[C@H](O)CN([C@@H]3[C@H](O)Cc4ccccc34)C1=O)Cc5ccc(cc5)c6cccnc6)C(C)(C)C,AJKIUJAKGPSKCA-NPHQGNLKSA-N,4.4,0.643452676
,CHEMBL2397587,CNc1ccc(cn1)C2=NC(=O)N(CCC3(C)CCCO3)c4c2oc5ncc(cc45)c6cnn(C)c6,MEMZMTDLGYXQLT-UHFFFAOYSA-N,4.4,0.643452676
,CHEMBL443691,CCCCOc1cccc(c1)C(=O)NC2(CCCC2)C(=O)N[C@H](Cc3ccccc3)C(=O)NCC4CCN(CC5CCOCC5)CC4,ZCSQOGQPAAZNGC-UUWRZZSWSA-N,4.4,0.643452676
,CHEMBL2403896,CC(C)(C)[C@H](NC(=O)OC1CCCC1)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5nc(cs5)c6ccccc6,ACFSXYRUPKZJEQ-GMDGRTAXSA-N,4.4,0.643452676
,CHEMBL3663316,C[C@H]1Cn2c(nnc2c3ncccn3)C(=O)N1Cc4cccc(c4Cl)C(F)(F)F,ITPQWLNFTIKNLD-JTQLQIEISA-N,4.4,0.643452676
,CHEMBL2397491,C[C@@H]([C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N)c2ccccc2,JNZMZFQJGGGBNU-XOKHGSTOSA-N,4.4,0.643452676
,CHEMBL3098543,CO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)OC)C(=O)[C@]13C)C5(C)C)C,VZECOSBRFJVFDM-LNGFJVFZSA-N,4.38,0.641474111
,CHEMBL3120495,CC1(C)C[C@H]2[C@H]1[C@@H](O)C\C(=C/CCC2=C)\C(=O)O,LMJMJHGFJXZGDE-RYCUEQJESA-N,4.375,0.640978057
